"Time (s)","Rotation x (rad/s)","Rotation y (rad/s)","Rotation z (rad/s)"
1.147286021E2,1.166218892E-2,1.789607853E-1,-9.355215356E-3
1.147484931E2,1.366414223E-2,2.144252956E-1,-8.741187863E-3
1.147683831E2,1.629197970E-2,2.506005168E-1,-9.662841447E-3
1.147882741E2,1.984729618E-2,2.813872993E-1,-8.954906836E-3
1.148081641E2,2.071343735E-2,3.116940558E-1,-9.422557428E-3
1.148280551E2,2.277988568E-2,3.428054452E-1,-8.153561503E-3
1.148479461E2,2.549350262E-2,3.708776832E-1,-6.877474487E-3
1.148678361E2,2.801294811E-2,3.930047452E-1,-5.746629555E-3
1.148877271E2,2.969095856E-2,4.170773625E-1,-8.537122980E-3
1.149076181E2,3.205317631E-2,4.373273551E-1,-8.334389888E-3
1.149275081E2,3.518359736E-2,4.550754130E-1,-7.170155644E-3
1.149473991E2,3.396689892E-2,4.719708562E-1,-6.639655679E-3
1.149672901E2,3.792172670E-2,4.845131338E-1,-7.304611616E-3
1.149871801E2,3.787245601E-2,4.965338409E-1,-7.545361295E-3
1.150070711E2,3.801565245E-2,5.038393736E-1,-6.697478704E-3
1.150269621E2,4.119798914E-2,5.066539049E-1,-6.571610458E-3
1.150468521E2,4.063402489E-2,5.108649135E-1,-6.978674792E-3
1.150667431E2,4.029123113E-2,5.110065341E-1,-7.655278314E-3
1.150866341E2,4.217085615E-2,5.059442520E-1,-7.256765384E-3
1.151065241E2,4.201256111E-2,5.020084381E-1,-6.441367790E-3
1.151264151E2,4.102540761E-2,4.909920692E-1,-9.764529765E-3
1.151463061E2,4.135352001E-2,4.790389538E-1,-5.621252581E-3
1.151661961E2,4.009481147E-2,4.647305310E-1,-7.350842468E-3
1.151860871E2,3.734035045E-2,4.489203393E-1,-7.601007354E-3
1.152059777E2,3.727314994E-2,4.291436970E-1,-6.098705344E-3
1.152258677E2,3.620274737E-2,4.073639214E-1,-5.314114504E-3
1.152457587E2,3.523379564E-2,3.837068975E-1,-4.395486787E-3
1.152656497E2,3.253307566E-2,3.551127613E-1,-4.125657957E-3
1.152855397E2,2.972738631E-2,3.280042112E-1,-6.748703774E-3
1.153054307E2,3.244249150E-2,2.989660800E-1,-3.808283247E-3
1.153253207E2,2.842156403E-2,2.669188082E-1,-2.921420848E-3
1.153452117E2,2.366090566E-2,2.322975099E-1,-3.726145020E-3
1.153651027E2,2.384616621E-2,2.020968348E-1,-7.416757289E-4
1.153849937E2,2.099861950E-2,1.630664319E-1,-4.852155689E-5
1.154048837E2,1.672260836E-2,1.259463280E-1,-7.965035038E-4
1.154247747E2,1.585827395E-2,8.997503668E-2,7.719316636E-4
1.154446647E2,1.389317866E-2,5.294336006E-2,2.784149256E-4
